lap,pos,driver,time
66,10,ocon,82976
66,11,gasly,84726
66,12,hulkenberg,86767
66,13,bottas,87353
66,14,sargeant,86118
66,15,tsunoda,85549
66,16,zhou,84464
66,17,stroll,106965
67,1,max_verstappen,82774
67,2,hamilton,83926
67,3,leclerc,82796
67,4,sainz,82707
67,5,norris,83916
67,6,russell,85868
67,7,ricciardo,83133
67,8,piastri,83238
67,9,albon,82979
67,10,ocon,83377
67,11,gasly,83512
67,12,hulkenberg,85346
67,13,sargeant,83347
67,14,tsunoda,84341
67,15,bottas,86217
67,16,zhou,84876
68,1,max_verstappen,82430
68,2,hamilton,82790
68,3,leclerc,82772
68,4,sainz,82976
68,5,norris,82787
68,6,russell,83749
68,7,ricciardo,83235
68,8,piastri,83362
68,9,albon,82806
68,10,ocon,83211
68,11,gasly,83324
68,12,hulkenberg,84889
68,13,sargeant,84509
68,14,tsunoda,84046
68,15,bottas,84695
68,16,zhou,84121
69,1,max_verstappen,82470
69,2,hamilton,82566
69,3,leclerc,82971
69,4,sainz,82767
69,5,norris,82502
69,6,russell,83397
69,7,ricciardo,83174
69,8,piastri,83168
69,9,albon,82785
69,10,ocon,83135
69,11,gasly,83359
69,12,hulkenberg,85013
69,13,sargeant,84978
69,14,tsunoda,84665
69,15,bottas,84295
69,16,zhou,83742
70,1,max_verstappen,82367
70,2,hamilton,83339
70,3,leclerc,82983
70,4,sainz,82943
70,5,norris,82152
70,6,russell,83391
70,7,ricciardo,83290
70,8,piastri,82980
70,9,albon,83024
70,10,ocon,83197
70,11,gasly,83306
70,12,sargeant,85038
70,13,hulkenberg,87168
70,14,tsunoda,86562
70,15,bottas,85619
70,16,zhou,83829
71,1,max_verstappen,82850
71,2,hamilton,81334
71,3,leclerc,82905
71,4,sainz,82720
71,5,norris,81944
71,6,russell,85487
71,7,ricciardo,85314
71,8,piastri,83421
71,9,albon,82845
71,10,ocon,83158
71,11,gasly,83300
71,12,tsunoda,86054
71,13,hulkenberg,87623
71,14,bottas,87033
71,15,zhou,84391
