Round,Pos,Num,driverId,Name,Q1,Q2,Q3
7,20,2,sargeant,Logan Sargeant,74699,,
8,1,1,max_verstappen,Max Verstappen,80851,79092,85858
8,2,27,hulkenberg,Nico Hulkenberg,82730,80305,87102
8,3,14,alonso,Fernando Alonso,81481,79776,87286
8,4,44,hamilton,Lewis Hamilton,81554,80426,87627
8,5,63,russell,George Russell,81798,80098,87893
8,6,31,ocon,Esteban Ocon,82114,80406,87945
8,7,4,norris,Lando Norris,81998,79347,88046
8,8,55,sainz,Carlos Sainz,82248,79856,89294
8,9,81,piastri,Oscar Piastri,82190,79659,91349
8,10,23,albon,Alexander Albon,81938,78725,
8,11,16,leclerc,Charles Leclerc,81843,80615,
8,12,11,perez,Sergio Perez,82151,80959,
8,13,18,stroll,Lance Stroll,82677,81484,
8,14,20,kevin_magnussen,Kevin Magnussen,82351,81678,
8,15,77,bottas,Valtteri Bottas,82332,81821,
8,16,22,tsunoda,Yuki Tsunoda,82746,,
8,17,10,gasly,Pierre Gasly,82886,,
8,18,21,de_vries,Nyck de Vries,83137,,
8,19,2,sargeant,Logan Sargeant,83337,,
8,20,24,zhou,Guanyu Zhou,83342,,
9,1,1,max_verstappen,Max Verstappen,65116,64951,64391
9,2,16,leclerc,Charles Leclerc,65577,65087,64439
9,3,55,sainz,Carlos Sainz,65339,64975,64581
9,4,4,norris,Lando Norris,65617,65038,64658
9,5,44,hamilton,Lewis Hamilton,65673,65188,64819
9,6,18,stroll,Lance Stroll,65710,65121,64893
9,7,14,alonso,Fernando Alonso,65655,65181,64911
9,8,27,hulkenberg,Nico Hulkenberg,65740,65362,65090
9,9,10,gasly,Pierre Gasly,65515,65308,65170
9,10,23,albon,Alexander Albon,65673,65387,65823
9,11,63,russell,George Russell,65686,65428,
9,12,31,ocon,Esteban Ocon,65729,65453,
9,13,81,piastri,Oscar Piastri,65683,65605,
9,14,77,bottas,Valtteri Bottas,65763,65680,
9,15,11,perez,Sergio Perez,65177,126688,
9,16,22,tsunoda,Yuki Tsunoda,65784,,
9,17,24,zhou,Guanyu Zhou,65818,,
9,18,2,sargeant,Logan Sargeant,65948,,
9,19,20,kevin_magnussen,Kevin Magnussen,65971,,
9,20,21,de_vries,Nyck de Vries,65974,,
10,1,1,max_verstappen,Max Verstappen,89428,87702,86720
10,2,4,norris,Lando Norris,88917,88042,86961
10,3,81,piastri,Oscar Piastri,89874,87845,87092
10,4,16,leclerc,Charles Leclerc,89143,88361,87136
10,5,55,sainz,Carlos Sainz,89865,88265,87148
10,6,63,russell,George Russell,89412,88782,87155
10,7,44,hamilton,Lewis Hamilton,89415,88545,87211
10,8,23,albon,Alexander Albon,89466,88067,87530
10,9,14,alonso,Fernando Alonso,89949,88368,87659
10,10,10,gasly,Pierre Gasly,89533,88751,87689
10,11,27,hulkenberg,Nico Hulkenberg,89603,88896,
10,12,18,stroll,Lance Stroll,89448,88935,
10,13,31,ocon,Esteban Ocon,89700,88956,
10,14,2,sargeant,Logan Sargeant,89873,89031,
10,15,77,bottas,Valtteri Bottas,89798,,
10,16,11,perez,Sergio Perez,89968,,
10,17,22,tsunoda,Yuki Tsunoda,90025,,
10,18,24,zhou,Guanyu Zhou,90123,,
10,19,21,de_vries,Nyck de Vries,90513,,
10,20,20,kevin_magnussen,Kevin Magnussen,92378,,
11,1,44,hamilton,Lewis Hamilton,78577,77427,76609
11,2,1,max_verstappen,Max Verstappen,78318,77547,76612
11,3,4,norris,Lando Norris,78697,77328,76694
11,4,81,piastri,Oscar Piastri,78464,77571,76905
11,5,24,zhou,Guanyu Zhou,78143,77700,76971
11,6,16,leclerc,Charles Leclerc,78440,77580,76992
11,7,77,bottas,Valtteri Bottas,78775,77563,77034
11,8,14,alonso,Fernando Alonso,78580,77701,77035
11,9,11,perez,Sergio Perez,78360,77675,77045
11,10,27,hulkenberg,Nico Hulkenberg,78695,77652,77186
11,11,55,sainz,Carlos Sainz,78393,77703,
11,12,31,ocon,Esteban Ocon,78854,77841,
11,13,3,ricciardo,Daniel Ricciardo,78906,78002,
11,14,18,stroll,Lance Stroll,78782,78144,
11,15,10,gasly,Pierre Gasly,78743,78217,
11,16,23,albon,Alexander Albon,78917,,
11,17,22,tsunoda,Yuki Tsunoda,78919,,
11,18,63,russell,George Russell,79027,,
11,19,20,kevin_magnussen,Kevin Magnussen,79206,,
11,20,2,sargeant,Logan Sargeant,79248,,
12,1,1,max_verstappen,Max Verstappen,118515,112784,106168
12,2,16,leclerc,Charles Leclerc,118300,112017,106988
12,3,11,perez,Sergio Perez,118899,112353,107045
12,4,44,hamilton,Lewis Hamilton,118563,112345,107087
12,5,55,sainz,Carlos Sainz,118688,111711,107152
12,6,81,piastri,Oscar Piastri,118872,111534,107365
12,7,4,norris,Lando Norris,119981,112252,107669
12,8,63,russell,George Russell,119035,112605,107805
12,9,14,alonso,Fernando Alonso,118834,112751,107843
12,10,18,stroll,Lance Stroll,119663,112193,108841
12,11,22,tsunoda,Yuki Tsunoda,119044,113148,
12,12,10,gasly,Pierre Gasly,119511,113671,
12,13,20,kevin_magnussen,Kevin Magnussen,120020,114160,
12,14,77,bottas,Valtteri Bottas,119484,114694,
12,15,31,ocon,Esteban Ocon,119634,116372,
12,16,23,albon,Alexander Albon,120314,,
12,17,24,zhou,Guanyu Zhou,120832,,
12,18,2,sargeant,Logan Sargeant,121535,,
12,19,3,ricciardo,Daniel Ricciardo,122159,,
12,20,27,hulkenberg,Nico Hulkenberg,123166,,
13,1,1,max_verstappen,Max Verstappen,80965,78856,70567
13,2,4,norris,Lando Norris,81276,79769,71104
13,3,63,russell,George Russell,81345,79620,71294
13,4,23,albon,Alexander Albon,80939,79399,71419
13,5,14,alonso,Fernando Alonso,81840,79429,71506
13,6,55,sainz,Carlos Sainz,81321,79929,71754
13,7,11,perez,Sergio Perez,81972,79856,71880
13,8,81,piastri,Oscar Piastri,81231,79392,71938
13,9,16,leclerc,Charles Leclerc,82019,79600,72665
13,10,2,sargeant,Logan Sargeant,82036,80067,76748
13,11,18,stroll,Lance Stroll,81570,80121,
13,12,10,gasly,Pierre Gasly,81735,80128,
13,13,44,hamilton,Lewis Hamilton,81919,80151,
13,14,22,tsunoda,Yuki Tsunoda,81781,80230,
13,15,27,hulkenberg,Nico Hulkenberg,81891,80250,
13,16,24,zhou,Guanyu Zhou,82067,,
13,17,31,ocon,Esteban Ocon,82110,,
13,18,20,kevin_magnussen,Kevin Magnussen,82192,,
13,19,77,bottas,Valtteri Bottas,82260,,
13,20,40,lawson,Liam Lawson,83420,,
14,1,55,sainz,Carlos Sainz,81965,80991,80294
14,2,1,max_verstappen,Max Verstappen,81573,80937,80307
14,3,16,leclerc,Charles Leclerc,81788,80977,80361
14,4,63,russell,George Russell,82148,81382,80671
14,5,11,perez,Sergio Perez,81911,81240,80688
14,6,23,albon,Alexander Albon,81661,81272,80760
